country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022
United Kingdom,England,0,13085723,13085723,13085723,182483,8118,4934,386,8010,4276,11461,4697,6226,7412,7132,2635,5941,5738,6442,4098,5042,4951,3669,4756,3460,4833,6116
United Kingdom,England,10,13085723,1960839,2606637,182483,7761,4739,377,7824,4072,11117,4576,6016,7202,6913,2514,5709,4738,5635,3778,4589,4402,3425,4437,2925,4417,5634
United Kingdom,England,15,13085723,1730411,2378968,182483,7703,4706,374,7733,4016,10971,4543,5971,7107,6860,2496,5678,4674,5579,3749,4547,4363,3408,4411,2903,4388,5602
United Kingdom,England,20,13085723,1660156,2320977,182483,7673,4695,373,7707,3996,10922,4528,5952,7077,6843,2491,5671,4653,5557,3743,4532,4350,3403,4404,2896,4378,5592
United Kingdom,England,25,13085723,1596978,2191229,182483,7645,4684,372,7666,3975,10856,4513,5930,7042,6820,2487,5662,4617,5516,3719,4501,4319,3386,4378,2879,4348,5547
United Kingdom,England,30,13085723,1519107,2036993,182483,7608,4669,371,7621,3934,10774,4499,5910,6996,6785,2480,5649,4572,5465,3695,4470,4289,3371,4352,2862,4319,5519
United Kingdom,England,50,13085723,1215661,1422776,182483,6785,4162,356,6659,3468,9397,4082,5458,6142,6219,2382,5468,4207,5097,3506,4231,4039,3227,4146,2720,4075,5254
United Kingdom,England,75,13085723,529721,701226,182483,4070,2546,290,4077,2293,5793,2815,4022,4233,4673,1955,4703,2841,3382,2540,2977,2726,2298,2836,1884,2632,3699
United Kingdom,Northern Ireland,0,1408458,1408458,1408458,22651,2912,755,338,804,3,221,3070,690,464,582,1412,1149,1224,822,775,921,839,989,1196,1291,1364,943
United Kingdom,Northern Ireland,10,1408458,263098,513473,22651,2814,736,335,798,3,218,2934,679,455,575,1395,1132,1105,754,731,865,760,927,1088,1144,1184,854
United Kingdom,Northern Ireland,15,1408458,224190,456649,22651,2764,731,333,795,3,217,2896,676,452,572,1385,1127,1096,750,727,858,752,920,1076,1128,1169,845
United Kingdom,Northern Ireland,20,1408458,209362,441141,22651,2741,729,333,794,3,217,2881,675,452,571,1383,1126,1094,748,727,857,751,919,1075,1125,1167,844
United Kingdom,Northern Ireland,25,1408458,202094,401421,22651,2711,726,332,794,3,217,2864,673,451,570,1380,1123,1081,744,721,851,743,908,1059,1104,1145,831
United Kingdom,Northern Ireland,30,1408458,194401,366025,22651,2685,724,331,793,3,216,2848,672,449,570,1376,1121,1078,741,718,848,740,906,1054,1098,1135,828
United Kingdom,Northern Ireland,50,1408458,147148,224664,22651,2223,690,314,775,3,209,2649,654,424,547,1273,1093,1035,722,694,808,704,870,1001,1034,1051,782
United Kingdom,Northern Ireland,75,1408458,61824,87023,22651,1192,577,272,683,2,189,2223,590,384,476,1051,977,813,587,554,632,541,676,756,756,747,602
United Kingdom,Scotland,0,7964577,7964577,7964577,235846,12174,11807,1204,12258,1865,5759,23250,4370,25491,18411,18026,27904,21828,22696,18041,22355,16155,21029,21418,18729,19568,28346
United Kingdom,Scotland,10,7964577,1798701,2765210,235846,11601,11568,1184,12105,1847,5679,22970,4320,25160,18257,17790,27251,19884,21515,17224,20880,15093,19947,20131,17262,18322,26186
United Kingdom,Scotland,15,7964577,1696754,2528798,235846,11480,11513,1180,12051,1843,5658,22888,4302,25035,18205,17748,27144,19718,21408,17168,20779,15024,19869,20048,17179,18250,26065
United Kingdom,Scotland,20,7964577,1671844,2444529,235846,11427,11488,1179,12026,1840,5643,22842,4294,24977,18182,17733,27120,19695,21392,17160,20767,15011,19857,20033,17158,18235,26027
United Kingdom,Scotland,25,7964577,1644896,2265910,235846,11395,11461,1177,11996,1839,5634,22806,4287,24900,18164,17713,27077,19597,21281,17066,20650,14929,19747,19917,17055,18115,25846
United Kingdom,Scotland,30,7964577,1594874,2097572,235846,11350,11432,1173,11973,1838,5624,22764,4278,24813,18142,17694,27021,19487,21208,17022,20577,14877,19686,19855,16987,18058,25759
United Kingdom,Scotland,50,7964577,1287282,1432250,235846,10308,10790,1069,11359,1805,5323,21832,4097,23257,17675,17359,26303,18579,20465,16522,19824,14278,18954,19084,16260,17330,24597
United Kingdom,Scotland,75,7964577,771544,786579,235846,6870,8713,825,9480,1571,4328,18633,3548,19646,15773,16004,23937,15314,17069,13759,16288,11643,15470,15344,13025,13968,19076
United Kingdom,Wales,0,2089739,2089739,2089739,32144,1631,3350,0,4566,3221,5004,1156,1677,5720,3051,1139,1923,3732,3219,2810,3146,3462,2505,3465,2142,3005,2267
United Kingdom,Wales,10,2089739,481440,619715,32144,1610,3315,0,4512,3141,4636,1133,1660,5580,3000,1114,1887,3502,3011,2612,2968,3202,2333,3181,1937,2751,2100
United Kingdom,Wales,15,2089739,432723,583178,32144,1607,3302,0,4490,3121,4557,1123,1654,5521,2990,1112,1883,3488,2994,2596,2952,3180,2321,3162,1926,2736,2090
United Kingdom,Wales,20,2089739,413115,568671,32144,1605,3297,0,4480,3112,4515,1120,1651,5499,2986,1111,1881,3485,2989,2592,2949,3176,2319,3158,1922,2732,2088
United Kingdom,Wales,25,2089739,400629,542760,32144,1603,3293,0,4471,3105,4479,1116,1648,5474,2978,1109,1879,3470,2968,2572,2923,3150,2299,3133,1905,2713,2073
United Kingdom,Wales,30,2089739,387218,504532,32144,1601,3288,0,4460,3097,4439,1111,1646,5452,2972,1107,1877,3459,2957,2562,2913,3136,2289,3116,1895,2703,2064
United Kingdom,Wales,50,2089739,312239,374335,32144,1541,3160,0,4258,2937,3977,1056,1597,5074,2876,1074,1838,3302,2805,2423,2744,2924,2147,2903,1764,2542,1934
United Kingdom,Wales,75,2089739,156554,199524,32144,1246,2480,0,3429,2347,2671,888,1374,3894,2469,913,1609,2501,2028,1758,1906,1950,1474,1944,1171,1772,1389